Cargando snapshot...
Analizando libros...

============================================================================================================================================
TABLA FINAL DE CRUZAMIENTO
============================================================================================================================================
ID | Titulo | Autor | Content | Pages | PDF | Patol | Dup | Sup | Clasificacion
{"id": 113, "title": "El Gen Ego├Østa", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 114, "title": "El Universo en una C├ƒscara de Nuez", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 115, "title": "Astrof├Øsica para Gente con Prisa", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 116, "title": "El Origen de las Especies", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 117, "title": "La Estructura de las Revoluciones Cient├Øficas", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 118, "title": "La Doble H├Ülice", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 119, "title": "Seis Piezas F├ƒciles", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 120, "title": "Un Punto Azul P├ƒlido", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 121, "title": "Charlie y la F├ƒbrica de Chocolate", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 122, "title": "Matilda", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 123, "title": "Las Cr┬¥nicas de Narnia: El Le┬¥n, la Bruja y el Ropero", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 124, "title": "Harry Potter y la Piedra Filosofal", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 125, "title": "El Diario de Greg", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 126, "title": "James y el Melocot┬¥n Gigante", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 127, "title": "Donde Viven los Monstruos", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 128, "title": "El Principito", "author": "Antoine de Saint-Exup├Üry", "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [18, 128], "candidato_superior": 18, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 129, "title": "Alicia en el Pa├Øs de las Maravillas", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 130, "title": "Cuentos de la Selva", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 131, "title": null, "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": false, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Sin datos suficientes en snapshot"}
{"id": 132, "title": null, "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": false, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Sin datos suficientes en snapshot"}
{"id": 133, "title": "Crimen y castigo", "author": "Fedor Dostoiewski", "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": false, "grupo_duplicado": [133, 159], "candidato_superior": 133, "clasificacion_final": "REVISAR", "motivo": "Duplicado detectado"}
{"id": 134, "title": "Los heraldos negros", "author": "C├Üsar Vallejo", "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": false, "grupo_duplicado": [134, 147, 160], "candidato_superior": 134, "clasificacion_final": "REVISAR", "motivo": "Duplicado detectado"}
{"id": 135, "title": "Sangre de Campe┬¥n: Sin Cadenas", "author": "Carlos Cuauht├Ümoc S├ƒnchez", "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": false, "grupo_duplicado": [135, 148, 161], "candidato_superior": 135, "clasificacion_final": "REVISAR", "motivo": "Duplicado detectado"}
{"id": 136, "title": "Ciro Alegria   El Mundo Es Ancho Y Ajeno", "author": "Autor Desconocido", "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": false, "grupo_duplicado": [136, 149, 162], "candidato_superior": 136, "clasificacion_final": "REVISAR", "motivo": "Duplicado detectado"}
{"id": 137, "title": "CrimenCastigo.PDF", "author": "Unknown", "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": false, "grupo_duplicado": [137, 150, 163], "candidato_superior": 137, "clasificacion_final": "REVISAR", "motivo": "Duplicado detectado"}
{"id": 138, "title": "Microsoft Word - Dante Alighieri - Divina comedia.doc", "author": "marbeto", "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": false, "grupo_duplicado": [138, 151, 164], "candidato_superior": 138, "clasificacion_final": "REVISAR", "motivo": "Duplicado detectado"}
{"id": 139, "title": "El Caballero Carmelo", "author": "Abraham Valdelomar", "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": false, "grupo_duplicado": [139, 152, 165], "candidato_superior": 139, "clasificacion_final": "REVISAR", "motivo": "Duplicado detectado"}
{"id": 140, "title": "EL MUNDO ES ANCHO Y AJENO", "author": "gff", "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": false, "grupo_duplicado": [140, 153, 166], "candidato_superior": 140, "clasificacion_final": "REVISAR", "motivo": "Duplicado detectado"}
{"id": 141, "title": "edipo.PDF", "author": "Unknown", "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": false, "grupo_duplicado": [141, 154, 167], "candidato_superior": 141, "clasificacion_final": "REVISAR", "motivo": "Duplicado detectado"}
{"id": 142, "title": "Romeo y Julieta", "author": "Shakespeare, William", "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": false, "grupo_duplicado": [142, 155, 168], "candidato_superior": 142, "clasificacion_final": "REVISAR", "motivo": "Duplicado detectado"}
{"id": 143, "title": "├ÉA CATITA", "author": "Sim┬¥n Chara Guti├Ürrez", "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": false, "grupo_duplicado": [143, 156, 169], "candidato_superior": 143, "clasificacion_final": "REVISAR", "motivo": "Duplicado detectado"}
{"id": 144, "title": "La Odisea", "author": "Homero", "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": false, "grupo_duplicado": [22, 144, 157, 170], "candidato_superior": 144, "clasificacion_final": "REVISAR", "motivo": "Duplicado detectado"}
{"id": 145, "title": "Memorias de subsuelo ", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "SIN_CONTENIDO_RECUPERABLE", "motivo": "Contenido fabricado (p├írrafo repetido 200+ veces)"}
{"id": 146, "title": null, "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": false, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Sin datos suficientes en snapshot"}
{"id": 147, "title": "Los heraldos negros", "author": "C├Üsar Vallejo", "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": false, "grupo_duplicado": [134, 147, 160], "candidato_superior": 134, "clasificacion_final": "REVISAR", "motivo": "Duplicado detectado"}
{"id": 148, "title": "Sangre de Campe┬¥n: Sin Cadenas", "author": "Carlos Cuauht├Ümoc S├ƒnchez", "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": false, "grupo_duplicado": [135, 148, 161], "candidato_superior": 135, "clasificacion_final": "REVISAR", "motivo": "Duplicado detectado"}
{"id": 149, "title": "Ciro Alegria   El Mundo Es Ancho Y Ajeno", "author": "Autor Desconocido", "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": false, "grupo_duplicado": [136, 149, 162], "candidato_superior": 136, "clasificacion_final": "REVISAR", "motivo": "Duplicado detectado"}
{"id": 150, "title": "CrimenCastigo.PDF", "author": "Unknown", "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": false, "grupo_duplicado": [137, 150, 163], "candidato_superior": 137, "clasificacion_final": "REVISAR", "motivo": "Duplicado detectado"}
{"id": 151, "title": "Microsoft Word - Dante Alighieri - Divina comedia.doc", "author": "marbeto", "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": false, "grupo_duplicado": [138, 151, 164], "candidato_superior": 138, "clasificacion_final": "REVISAR", "motivo": "Duplicado detectado"}
{"id": 152, "title": "El Caballero Carmelo", "author": "Abraham Valdelomar", "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": false, "grupo_duplicado": [139, 152, 165], "candidato_superior": 139, "clasificacion_final": "REVISAR", "motivo": "Duplicado detectado"}
{"id": 153, "title": "EL MUNDO ES ANCHO Y AJENO", "author": "gff", "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": false, "grupo_duplicado": [140, 153, 166], "candidato_superior": 140, "clasificacion_final": "REVISAR", "motivo": "Duplicado detectado"}
{"id": 154, "title": "edipo.PDF", "author": "Unknown", "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": false, "grupo_duplicado": [141, 154, 167], "candidato_superior": 141, "clasificacion_final": "REVISAR", "motivo": "Duplicado detectado"}
{"id": 155, "title": "Romeo y Julieta", "author": "Shakespeare, William", "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": false, "grupo_duplicado": [142, 155, 168], "candidato_superior": 142, "clasificacion_final": "REVISAR", "motivo": "Duplicado detectado"}
{"id": 156, "title": "├ÉA CATITA", "author": "Sim┬¥n Chara Guti├Ürrez", "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": false, "grupo_duplicado": [143, 156, 169], "candidato_superior": 143, "clasificacion_final": "REVISAR", "motivo": "Duplicado detectado"}
{"id": 157, "title": "La Odisea", "author": "Homero", "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": false, "grupo_duplicado": [22, 144, 157, 170], "candidato_superior": 144, "clasificacion_final": "REVISAR", "motivo": "Duplicado detectado"}
{"id": 158, "title": "Noches blancas ", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "SIN_CONTENIDO_RECUPERABLE", "motivo": "Contenido fabricado (p├írrafo repetido 200+ veces)"}
{"id": 159, "title": "Crimen y castigo", "author": "Fedor Dostoiewski", "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": false, "grupo_duplicado": [133, 159], "candidato_superior": 133, "clasificacion_final": "REVISAR", "motivo": "Duplicado detectado"}
{"id": 160, "title": "Los heraldos negros", "author": "C├Üsar Vallejo", "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": false, "grupo_duplicado": [134, 147, 160], "candidato_superior": 134, "clasificacion_final": "REVISAR", "motivo": "Duplicado detectado"}
{"id": 161, "title": "Sangre de Campe┬¥n: Sin Cadenas", "author": "Carlos Cuauht├Ümoc S├ƒnchez", "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": false, "grupo_duplicado": [135, 148, 161], "candidato_superior": 135, "clasificacion_final": "REVISAR", "motivo": "Duplicado detectado"}
{"id": 162, "title": "Ciro Alegria   El Mundo Es Ancho Y Ajeno", "author": "Autor Desconocido", "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": false, "grupo_duplicado": [136, 149, 162], "candidato_superior": 136, "clasificacion_final": "REVISAR", "motivo": "Duplicado detectado"}
{"id": 163, "title": "CrimenCastigo.PDF", "author": "Unknown", "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": false, "grupo_duplicado": [137, 150, 163], "candidato_superior": 137, "clasificacion_final": "REVISAR", "motivo": "Duplicado detectado"}

============================================================================================================================================
VALIDACI├ôN DE SEGURIDAD
============================================================================================================================================
Operaciones SELECT ejecutadas: 0 (an├ílisis desde snapshot)
Comprobaciones de archivos: 0 (sin conexi├│n a BD)
Archivos del repositorio modificados: 0
Commits realizados: 0
Pushes realizados: 0
Deploys realizados: 0

PRODUCCI├ôN NO FUE MODIFICADA.
